fund_id,timestamp_utc,nav_per_unit,currency,calc_method,source_file
FUND_MMF,2026-01-01T21:00:00Z,1.000000,USD,evaluated_bid,nav_20260101.csv
FUND_MMF,2026-01-02T21:00:00Z,1.000035,USD,evaluated_bid,nav_20260102.csv
FUND_MMF,2026-01-03T21:00:00Z,1.000070,USD,evaluated_bid,nav_20260103.csv
FUND_MMF,2026-01-04T21:00:00Z,1.000105,USD,evaluated_bid,nav_20260104.csv
FUND_MMF,2026-01-05T21:00:00Z,1.000140,USD,evaluated_bid,nav_20260105.csv
FUND_MMF,2026-01-06T21:00:00Z,1.000175,USD,evaluated_bid,nav_20260106.csv
FUND_MMF,2026-01-07T21:00:00Z,1.000210,USD,evaluated_bid,nav_20260107.csv
FUND_MMF,2026-01-08T21:00:00Z,1.000245,USD,evaluated_bid,nav_20260108.csv
FUND_MMF,2026-01-09T21:00:00Z,1.000280,USD,evaluated_bid,nav_20260109.csv
FUND_MMF,2026-01-10T21:00:00Z,1.000315,USD,evaluated_bid,nav_20260110.csv
FUND_MMF,2026-01-11T21:00:00Z,1.000350,USD,evaluated_bid,nav_20260111.csv
FUND_MMF,2026-01-12T21:00:00Z,1.000385,USD,evaluated_bid,nav_20260112.csv
FUND_MMF,2026-01-13T21:00:00Z,1.000420,USD,evaluated_bid,nav_20260113.csv
FUND_MMF,2026-01-14T21:00:00Z,1.000455,USD,evaluated_bid,nav_20260114.csv
FUND_MMF,2026-01-15T21:00:00Z,1.000490,USD,evaluated_bid,nav_20260115.csv
FUND_MMF,2026-01-16T21:00:00Z,1.000525,USD,evaluated_bid,nav_20260116.csv
FUND_MMF,2026-01-17T21:00:00Z,1.000560,USD,evaluated_bid,nav_20260117.csv
FUND_MMF,2026-01-18T21:00:00Z,1.000595,USD,evaluated_bid,nav_20260118.csv
FUND_MMF,2026-01-19T21:00:00Z,1.000630,USD,evaluated_bid,nav_20260119.csv
FUND_MMF,2026-01-20T21:00:00Z,1.000665,USD,evaluated_bid,nav_20260120.csv
FUND_MMF,2026-01-21T21:00:00Z,1.000700,USD,evaluated_bid,nav_20260121.csv
FUND_MMF,2026-01-22T21:00:00Z,1.000735,USD,evaluated_bid,nav_20260122.csv
FUND_MMF,2026-01-23T21:00:00Z,1.000770,USD,evaluated_bid,nav_20260123.csv
FUND_MMF,2026-01-24T21:00:00Z,1.000805,USD,evaluated_bid,nav_20260124.csv
FUND_MMF,2026-01-25T21:00:00Z,1.000840,USD,evaluated_bid,nav_20260125.csv
FUND_MMF,2026-01-26T21:00:00Z,1.000875,USD,evaluated_bid,nav_20260126.csv
FUND_MMF,2026-01-27T21:00:00Z,1.000910,USD,evaluated_bid,nav_20260127.csv
FUND_MMF,2026-01-28T21:00:00Z,1.000945,USD,evaluated_bid,nav_20260128.csv
FUND_MMF,2026-01-29T21:00:00Z,1.000980,USD,evaluated_bid,nav_20260129.csv
FUND_MMF,2026-01-30T21:00:00Z,1.001015,USD,evaluated_bid,nav_20260130.csv
FUND_MMF,2026-01-31T21:00:00Z,1.001050,USD,evaluated_bid,nav_20260131.csv
