fund_id,timestamp_utc,nav_per_unit,currency,calc_method,source_file
FUND_STRESS,2026-01-01T21:00:00Z,100.000000,USD,evaluated_bid,nav_20260101.csv
FUND_STRESS,2026-01-02T21:00:00Z,100.005500,USD,evaluated_bid,nav_20260102.csv
FUND_STRESS,2026-01-05T21:00:00Z,100.022000,USD,evaluated_bid,nav_20260105.csv
FUND_STRESS,2026-01-06T21:00:00Z,100.027500,USD,evaluated_bid,nav_20260106.csv
FUND_STRESS,2026-01-07T21:00:00Z,100.033000,USD,evaluated_bid,nav_20260107.csv
FUND_STRESS,2026-01-08T13:00:00Z,100.038500,USD,evaluated_bid,nav_20260108_1300.csv
FUND_STRESS,2026-01-08T14:00:00Z,100.038500,USD,evaluated_bid,nav_20260108_1400.csv
FUND_STRESS,2026-01-08T15:00:00Z,100.038500,USD,evaluated_bid,nav_20260108_1500.csv
FUND_STRESS,2026-01-08T16:00:00Z,100.038500,USD,evaluated_bid,nav_20260108_1600.csv
FUND_STRESS,2026-01-08T17:00:00Z,100.038500,USD,evaluated_bid,nav_20260108_1700.csv
FUND_STRESS,2026-01-08T18:00:00Z,100.038500,USD,evaluated_bid,nav_20260108_1800.csv
FUND_STRESS,2026-01-08T19:00:00Z,100.038500,USD,evaluated_bid,nav_20260108_1900.csv
FUND_STRESS,2026-01-09T21:00:00Z,100.044000,USD,evaluated_bid,nav_20260109.csv
